 ,Area,Mean,Min,Max,Angle,Length
396,10,156.300,151.000,168.000,0.000,9.000
397,11,144.091,123.000,191.000,0.000,10.000
398,8,124.000,117.000,136.000,0.000,7.000
399,14,111.315,98.462,152.000,-26.565,13.416
400,12,120.985,104.727,142.000,5.194,11.045
401,13,118.853,102.667,161.000,4.764,12.042
402,13,141.462,126.000,183.000,0.000,12.000
403,8,132.531,121.837,147.000,-33.690,7.211
404,8,124.969,116.122,137.000,33.690,7.211
405,11,118.264,105.000,147.000,-5.711,10.050
406,12,106.862,98.273,124.000,-37.875,11.402
407,10,129.200,123.000,144.000,18.435,9.487
408,11,156.273,138.000,195.000,0.000,10.000
409,9,145.889,142.000,153.000,0.000,8.000
410,12,139.667,131.000,171.000,0.000,11.000
411,15,151.933,146.000,162.000,0.000,14.000
412,15,147.033,135.500,190.000,4.086,14.036
413,12,128.545,118.364,140.000,15.255,11.402
414,11,140.818,131.000,170.000,0.000,10.000
415,9,136.194,131.000,146.000,7.125,8.062
416,10,162.167,159.444,170.000,-6.340,9.055
417,12,165.917,163.000,174.000,0.000,11.000
418,10,167.478,161.000,183.000,6.340,9.055
419,11,162.458,160.000,170.000,23.962,9.849
420,11,143.164,134.000,170.000,11.310,10.198
421,12,151.962,144.455,172.000,-15.255,11.402
422,14,146.792,135.615,180.000,-22.620,13.000
423,11,140.818,126.400,183.000,11.310,10.198
424,10,133.144,127.556,147.000,-6.340,9.055
425,11,164.545,162.000,168.000,0.000,10.000
426,13,171.769,167.000,181.000,0.000,12.000
427,10,159.667,156.222,168.000,6.340,9.055
428,14,141.929,127.000,190.000,0.000,13.000
429,12,138.917,130.000,161.000,0.000,11.000
430,11,131.975,125.500,157.000,-23.962,9.849
431,18,156.285,137.554,194.000,-17.354,16.763
432,14,142.451,126.923,202.000,4.399,13.038
433,12,141.516,130.091,180.000,-26.565,11.180
434,13,132.808,120.000,176.000,14.036,12.369
435,13,145.769,129.000,198.000,0.000,12.000
436,9,134.333,123.000,167.000,0.000,8.000
437,12,132.121,115.198,188.000,21.801,10.770
438,15,128.110,112.980,177.000,24.775,14.318
439,12,127.850,120.124,146.000,26.565,11.180
440,13,133.000,119.000,178.000,0.000,12.000
441,13,141.692,132.000,156.000,0.000,12.000
442,12,136.193,130.000,155.000,-37.875,11.402
443,9,166.778,165.000,169.000,0.000,8.000
444,14,156.500,145.000,187.000,0.000,13.000
445,14,147.308,132.385,191.000,4.399,13.038
446,17,147.147,126.500,213.000,14.036,16.492
447,14,136.222,125.450,157.000,22.620,13.000
448,14,143.929,134.000,176.000,0.000,13.000
449,15,141.533,130.000,158.000,0.000,14.000
450,13,138.231,128.000,155.000,0.000,12.000
451,14,144.643,130.923,184.000,-8.746,13.153
452,18,151.389,132.000,214.000,0.000,17.000
453,15,141.733,129.571,175.000,8.130,14.142
454,17,136.301,126.000,156.000,-10.620,16.279
455,15,142.871,131.000,174.000,-12.095,14.318
456,13,157.846,154.000,163.000,0.000,12.000
457,13,165.865,163.500,170.000,4.764,12.042
458,17,159.015,138.312,205.000,3.576,16.031
459,10,146.300,142.000,157.000,18.435,9.487
460,15,155.148,144.000,183.000,12.095,14.318
461,17,144.746,136.312,165.000,3.576,16.031
462,15,147.086,136.857,168.000,-24.775,14.318
463,15,163.667,155.000,177.000,8.130,14.142
464,15,151.710,132.143,213.000,12.095,14.318
465,17,151.618,134.000,206.000,3.576,16.031
466,9,163.000,161.000,170.000,0.000,8.000
467,13,164.154,161.000,169.000,0.000,12.000
468,12,140.417,128.000,172.000,0.000,11.000
469,12,136.917,131.000,147.000,0.000,11.000
470,10,165.111,160.000,176.000,6.340,9.055
471,11,153.636,150.000,171.000,0.000,10.000
472,8,156.750,148.571,174.000,8.130,7.071
473,10,147.848,140.444,158.000,26.565,8.944
474,8,132.694,129.490,138.000,33.690,7.211
475,10,139.100,135.000,151.000,12.529,9.220
476,9,135.778,127.000,153.000,0.000,8.000
477,8,127.125,120.000,142.000,0.000,7.000
478,6,130.333,123.000,136.000,0.000,5.000
479,8,138.750,131.000,144.000,0.000,7.000
480,5,133.100,126.000,150.000,26.565,4.472
481,9,128.556,117.000,144.000,0.000,8.000
482,5,134.600,129.500,141.000,26.565,4.472
483,8,126.339,118.286,135.000,8.130,7.071
484,10,145.133,139.333,158.000,-6.340,9.055
485,9,130.444,124.000,139.000,0.000,8.000
486,11,143.182,120.000,202.000,11.310,10.198
487,9,137.653,124.000,182.000,-7.125,8.062
488,9,131.307,126.750,142.000,-66.801,7.616
489,6,131.833,127.000,147.000,0.000,5.000
490,7,138.714,125.000,162.000,-90.000,6.000
491,7,133.286,126.000,146.000,-90.000,6.000
492,7,121.667,114.333,138.000,-59.036,5.831
493,9,152.431,134.750,194.000,-7.125,8.062
494,11,126.755,105.800,166.000,-73.301,10.440
495,9,110.889,103.000,136.000,0.000,8.000
496,7,134.524,125.000,162.000,-18.435,6.325
497,9,142.542,138.250,148.000,7.125,8.062
498,10,137.600,131.000,149.000,0.000,9.000
499,11,142.455,130.000,183.000,0.000,10.000
500,8,130.625,123.000,143.000,0.000,7.000
